File created on 2019-03-15T14:02:04.845163

#START
2010 04 01 00 06 00 000        0.62      -0.59      -2.02    -384.60      18.99      -3.20      27.03   38146.00
2010 04 01 00 07 00 000        1.95      -1.58      -1.40    -384.60      18.99      -3.20      27.03   38146.00
2010 04 01 00 08 00 000        3.29      -2.57      -0.77    -384.60      18.99      -3.21      27.03   38146.00
2010 04 01 00 09 00 000        6.04      -4.14       2.65    -375.20      22.50      22.01      11.18  134271.00
2010 04 01 00 10 00 000        3.94      -3.23      -0.13    -375.30      21.68      14.73      14.88  116614.00
2010 04 01 00 11 00 000        5.03      -2.35       2.42    -375.60      18.58     -15.45      30.50   43486.00
2010 04 01 00 12 00 000        4.01      -2.49       0.02    -375.60      18.58     -15.45      30.50   43486.00
2010 04 01 00 13 00 000        5.22      -2.67       1.96    -407.20      39.97       0.84       6.46   75175.00
2010 04 01 00 14 00 000        4.22      -2.57      -0.50    -395.90      30.26      -4.02      15.37   62489.00
2010 04 01 00 15 00 000        5.37      -3.70       0.87    -371.40      16.90       9.76      20.33   42495.00
2010 04 01 00 16 00 000        4.58      -2.27       1.95    -391.70      20.67      15.22      12.46   62662.00
2010 04 01 00 17 00 000        4.48      -3.16       1.61    -386.80      12.93      22.38      18.88   52265.00
2010 04 01 00 18 00 000        4.16      -2.18       1.73    -384.50      14.95      12.47      25.46   48942.50
2010 04 01 00 19 00 000        4.80      -3.29       0.97    -382.20      16.96       2.55      32.05   45620.00
2010 04 01 00 20 00 000        4.88      -2.17       1.24    -382.60      18.00       2.02      30.30   48532.00
2010 04 01 00 21 00 000        6.41      -4.46       1.63    -387.00      31.19      -4.08       9.10   84444.00
2010 04 01 00 22 00 000        4.60      -3.14       1.25    -385.90      22.09       1.16      11.66   86294.00
2010 04 01 00 23 00 000        5.99      -4.75       0.52    -383.70       5.93      10.47      16.28   89351.00
2010 04 01 00 24 00 000        5.26      -3.44       1.08    -365.60      15.78       4.97      13.80   60066.00
2010 04 01 00 25 00 000        5.13      -2.43       0.90    -375.00      18.01      -7.21      19.05   58893.00
2010 04 01 00 26 00 000        6.81      -3.88       0.88    -379.90      15.12      -4.31      20.41   47094.00
2010 04 01 00 27 00 000        6.30      -4.81      -0.07    -375.90       9.93       4.12      11.61   44220.00
2010 04 01 00 28 00 000        4.63      -3.98       0.21    -400.60      21.40      27.03      10.80   61263.00
2010 04 01 00 29 00 000        5.16      -4.63       3.46    -389.80      15.21      24.66      12.41   70137.00
2010 04 01 00 30 00 000        5.59      -4.71       2.67    -388.20      15.00      23.69      12.75   68979.00
2010 04 01 00 31 00 000        4.23      -2.72       3.97    -385.30      16.51      19.79      13.85   59955.00
2010 04 01 00 32 00 000        4.64      -2.97       5.86    -383.40      12.69      17.04      14.70   53646.00
2010 04 01 00 33 00 000        6.00      -2.46       2.29    -383.10      12.07      16.52      14.84   52614.00
2010 04 01 00 34 00 000        3.02      -1.34       2.44    -391.40      18.82      20.26      12.81   83093.00
2010 04 01 00 35 00 000        6.28      -6.10       0.31    -391.80      19.68      20.21      12.55   80400.00
2010 04 01 00 36 00 000        7.11      -5.28      -0.48    -403.80      32.22      24.49       7.15   91765.00
2010 04 01 00 37 00 000        5.26      -4.70       0.84    -420.10      39.07      36.18       2.01  189679.00
2010 04 01 00 38 00 000        7.03      -6.15      -0.14    -373.40      20.30      61.34       2.93  123003.00
2010 04 01 00 39 00 000        7.04      -5.42       2.08    -373.40      20.33      61.34       2.93  123003.00
2010 04 01 00 40 00 000        7.27      -6.15       1.88    -401.40      44.90      27.03       2.61  168262.00
2010 04 01 00 41 00 000        7.25      -6.37       2.00    -400.80      45.97      36.27       3.06  122322.00
2010 04 01 00 42 00 000        7.20      -6.45       1.86    -386.10      38.65      27.22       7.52  108488.00
2010 04 01 00 43 00 000        7.13      -1.76      -0.21    -408.00      61.31      41.16       2.22  213975.00
2010 04 01 00 44 00 000        6.86      -4.96       0.89    -413.43      58.41      40.39       2.11  204693.83
2010 04 01 00 45 00 000        5.60      -4.81       1.14    -418.87      55.52      39.63       2.01  195412.67
2010 04 01 00 46 00 000        5.38      -4.44       3.01    -424.30      52.62      38.86       1.90  186131.50
2010 04 01 00 47 00 000        7.01      -2.42      -0.07    -429.73      49.72      38.10       1.79  176850.33
2010 04 01 00 48 00 000        6.94      -3.56       0.45    -435.17      46.83      37.33       1.69  167569.17
2010 04 01 00 49 00 000        6.87      -4.70       0.97    -440.60      43.93      36.57       1.58  158288.00
2010 04 01 00 50 00 000        7.24      -5.51       2.64    -440.60      43.94      36.56       1.58  158288.00
2010 04 01 00 51 00 000        6.93      -2.10      -0.02    -432.17      40.84      33.60       2.74  146412.27
2010 04 01 00 52 00 000        7.06      -3.58       0.53    -423.75      37.74      30.65       3.90  134536.55
2010 04 01 00 53 00 000        6.88      -6.50       1.69    -415.32      34.64      27.71       5.05  122660.82
2010 04 01 00 54 00 000        6.99      -2.68       1.32    -406.89      31.54      24.76       6.21  110785.09
2010 04 01 00 55 00 000        6.87      -3.71       0.78    -398.46      28.43      21.81       7.37   98909.36
2010 04 01 00 56 00 000        6.96      -4.07       0.90    -390.04      25.32      18.87       8.53   87033.64
2010 04 01 00 57 00 000        7.06      -4.43       1.02    -381.61      22.21      15.93       9.69   75157.91
2010 04 01 00 58 00 000        6.96      -4.44       1.07    -373.18      19.09      13.00      10.85   63282.18
2010 04 01 00 59 00 000        6.87      -4.44       1.12    -364.75      15.98      10.06      12.00   51406.46
2010 04 01 01 00 00 000        6.94      -4.82       0.99    -356.33      12.86       7.13      13.16   39530.73
2010 04 01 01 01 00 000        7.02      -5.20       0.85    -347.90       9.74       4.20      14.32   27655.00
